,source,title,description,content
0,TechCrunch,ev charging solutions become asset liability grid,although wireless charging still relatively new market benefits beginning become glaringly self evident,president joe biden’s plan electric vehicles evs comprise roughly half u sales 2030 clear indication u making strides decarbonizing transportation systems… 8883 chars
1,TechCrunch,hyundai motor group unveils hydrogen strategy plans offer fuel cell versions commercial cars 2028,hyundai motor group backing hydrogen top energy solution sustainability new fuel cell system plans launch next years south korean automaker said provide hydrogen fuel cell versions commercia…,hyundai motor group backing hydrogen top energy solution sustainability new fuel cell system plans launch next years south korean automaker said wi… 4247 chars
2,Wiley.com,electric vehicles produce substantial toxicity humans freshwater,electric vehicles evs coupled low carbon electricity sources offer potential reducing greenhouse gas emissions exposure tailpipe emissions personal transportation consi,introduction global society dependent road transport development trends project substantial growth road transport coming decades according study commissioned … 45710 chars
3,Reuters,zurich insurance sets climate steps curb c02 emissions reuters,zurich insurance group href https www reuters com companies zurn target blank zurn unveiled new climate measures swiss insurer said would cut carbon dioxide co2 emissions fifth 40 000 tonnes per year 2…,ceo mario greco swiss zurich insurance addresses news conference zurich switzerland february 9 2017 reuters arnd wiegmann file photozurich sept 7 reuters zurich insurance group zurn … 1472 chars
4,Reuters,update 1 zurich insurance sets climate steps curb c02 emissions reuters,zurich insurance group unveiled new climate measures swiss insurer said would cut carbon dioxide co2 emissions fifth 40 000 tonnes per year 2025,reuters staff file photo ceo mario greco swiss zurich insurance addresses news conference zurich switzerland february 9 2017 reuters arnd wiegmann file photo zurich reuters zuric… 1363 chars
5,Reuters,update 1 zurich insurance sets climate steps curb c02 emissions reuters,zurich insurance group unveiled new climate measures swiss insurer said would cut carbon dioxide co2 emissions fifth 40 000 tonnes per year 2025,reuters staff adds details background zurich sept 7 reuters zurich insurance group unveiled new climate measures swiss insurer said would cut carbon dioxide co2 emissions b… 1305 chars
6,Reuters,biden infrastructure plan takes ev charging inequality problem reuters,biden administration ambitious 7 5 billion plan expand electric vehicle charging underserved areas must first overcome host obstacles discouraged private investment equitable charging networks,sept 1 reuters biden administration ambitious 7 5 billion plan expand electric vehicle charging underserved areas must first overcome host obstacles disco… 5996 chars
7,Reuters,biden infrastructure plan takes ev charging’s inequality problem reuters,biden administration ambitious 7 5 billion plan expand electric vehicle charging underserved areas must first overcome host obstacles discouraged private investment equitable charging networks,reuters biden administration ambitious 7 5 billion plan expand electric vehicle charging underserved areas must first overcome host obstacles discouraged … 5932 chars
8,Reuters,bmw reduce carbon emissions car life cycle 40 2030 reuters,bmw href https www reuters com companies bmwg de target blank bmwg de plans reduce carbon emissions across life cycle vehicles including production process least 40 2019 levels 2030 carmaker said thurs…,logo german luxury carmaker bmw seen ahead company annual news conference munich germany march 20 2019 reuters michael dalder file photoberlin sept 2 reuters bmw bmwg d… 1480 chars
9,Reuters,analysis china green car credit system replaced country pursues carbon neutrality reuters,china may replace green car credit system new policy focusing broadly reducing carbon emissions industry executives say,cars seen traffic jam evening rush hour beijing country hit outbreak novel coronavirus disease covid 19 china april 8 2020 reuters tingshu wang file ph… 3179 chars
10,Reuters,explainer bmw daimler sued climate change reuters com,german activists filed lawsuit automakers bmw daimler refusing tighten carbon emissions goals first time german citizens sued private companies exacerbating climate change,berlin reuters german activists filed lawsuit automakers bmw daimler refusing tighten carbon emissions goals first time german citizens sued private companies … 5301 chars
11,Reuters,electric vehicles may cut global refining capacity demand half 2050 rystad reuters,global drive towards electrification road transport reduce carbon emissions may cut demand world oil refining capacity half 2050 consultancy rystad energy says,file photo heavy vehicular traffic seen ocean beach neighbourhood san diego california u ahead fourth july holiday july 3 2020 reuters bing guan file photosingapore s… 1671 chars
12,The Next Web,climate change infrastructure problem look ev charger map,america’s 107 000 gas stations fill several cars every five 10 minutes multiple pumps electric vehicle chargers – least yet today u around 43 000 public ev charging stations 106 000 outlets ou…,americas 107 000 gas stations fill several cars every five 10 minutes multiple pumps electric vehicle chargers least yet today u around 43 000 public … 7517 chars
13,CNN,climate wait electric planes sustainable fuel may answer,50 airlines oil companies companies including delta bp boeing pledged wednesday replace 10 global jet fuel supply sustainable aviation fuel saf 2030,london cnn business 50 airlines oil companies companies including delta dal bp bp boeing ba pledged wednesday replace 10 global jet fuel supply sustaina… 8309 chars
14,Zacks.com,tesla tsla make inroads india nod 4 vehicles,tesla tsla inches closer foray india four vehicle variants clear homologation test,september 1 2021 6 min read story originally appeared zackstesla inc tsla set hit indian roads soon union transport ministry approving four models production… 6694 chars
15,Theepochtimes.com,electric vehicles usher new pennsylvania regulations,future electric vehicles pennsylvania topic several discussions statehouse monday,news analysis ready pressure companies individuals adopt electric transportation lurching forward along new regulations likely felt future o… 5974 chars
16,The Next Web,royal mail tests eeny weeny evs uk deliveries,know shift taking stage fall together amazing line experts explore future mobility tnw conference 2021 secure ticket royal mail committed full electrification vehicles 2…,know shift taking stage fall together amazing line experts explore future mobility tnw conference 2021 secure ticket royal mail h… 1973 chars
17,The Next Web,world’s first cobalt free ev batteries finally launched — here’s matters,chinese ev battery manufacturer svolt unveiled claims world’s first cobalt free battery chengdu motor show company showcased innovative battery pack inside ora cherry cat chinese automaker great wall motors that…,chinese ev battery manufacturer svolt unveiled claims worlds first cobalt free battery chengdu motor show company showcased innovative battery pack inside ora ch… 2633 chars
18,Zacks.com,shell rds announces plans ev charging expansion uk,shell rds assist local administration uk cities states committing cover upfront installation costs fund,september 2 2021 4 min read story originally appeared zacksroyal dutch shell plc rds recently announced expand network electric vehicle charging stations u… 4837 chars
19,Reuters,shell vastly expand ev charging network britain reuters,royal dutch shell href https www reuters com companies rdsa l target blank rdsa l wednesday announced plans vastly expand network electric vehicle charging points britain aiming install 50 000 street posts 2025,logo royal dutch shell pictured launch event hydrogen electrolysis plant shell rhineland refinery wesseling near cologne germany july 2 2021 reuters thilo schmuel… 1363 chars
20,StockNews.com,avoid 2 electric vehicle stocks bank america downgraded,face global semiconductor chip shortage electric vehicle ev industry struggling several manufacturers plan production c,face global semiconductor chip shortage electric vehicle ev industry struggling several manufacturers plan production cuts due chip crunch industry expec… 5075 chars
21,The Guardian,aren’t big bike firms tracking environmental impact,trek’s sustainability report appears first kind sector free ride issuetrek one world’s biggest bicycle brands recently released sustainability report 2021 remarkably appears first t…,trek one worlds biggest bicycle brands recently released sustainability report 2021 remarkably appears first time major bike company published document … 6827 chars
22,Reuters,china new infrastructure still relies carbon intensive supply chains greenpeace reuters,report environmental group greenpeace found new chinese infrastructure still relies carbon intensive supply chains though emitted less carbon traditional infrastructure last year,workers walk yujiapu financial centre tianjin china february 22 2016 reuters jason leeshanghai sept 29 reuters report environmental group greenpeace found new chin… 1837 chars
23,The Guardian,shell aims install 50 000 street ev charge points 2025,oil firm sets plans provide third britain’s network needed hit climate targetsshell announced aim install 50 000 street electric vehicle ev charging points uk next four years attempt provide third …,shell announced aim install 50 000 street electric vehicle ev charging points uk next four years attempt provide third network needed hit nationa… 2294 chars
24,Reuters,vitol plans electric hybrid bunker tankers singapore reuters,vitol singaporean bunker operations company v bunkers placed order build two electric hybrid bunker tankers deployed world largest marine refuelling hub singapore company said statement,singapore sept 17 reuters vitol singaporean bunker operations company v bunkers placed order build two electric hybrid bunker tankers deployed world largest marine r… 882 chars
25,TechCrunch,station apple car shakeup sept 11 changed travel pledge airlines,station weekly newsletter dedicated things transportation sign — click station — receive every weekend inbox hi readers welcome station central hub past present future means moving…,station weekly newsletter dedicated things transportation sign click station receive every weekend inbox hi readers welcome station cen… 21202 chars
26,Reuters,fintech firm ideanomics buy via motors nearly 630 mln reuters,financial technology company ideanomics inc href https www reuters com companies idex target blank idex said monday acquire via motors international inc stock deal would value electric commercial vehicle …,aug 30 reuters financial technology company ideanomics inc idex said monday acquire via motors international inc stock deal would value electric commercial … 1526 chars
27,Reuters,surge electric vehicle sales power lithium prices shortages loom reuters,lithium prices jumped highest three years thanks upsurge electric vehicle sales depleting stocks battery material top consumer china,electric car charging station pictured parking lot shanghai china march 13 2021 reuters aly song file photolondon sept 13 reuters lithium prices jumped highest m… 2500 chars
