,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Walter Thompson,"EV charging solutions will become an asset, not a liability, to the grid","Although wireless charging is still relatively new to the market, the benefits are beginning to become glaringly self-evident.",http://techcrunch.com/2021/08/31/ev-charging-solutions-will-become-an-asset-not-a-liability-to-the-grid/,https://techcrunch.com/wp-content/uploads/2021/08/GettyImages-1219328171.jpg?w=600,2021-08-31T14:30:08Z,President Joe Biden’s plan for electric vehicles (EVs) to comprise roughly half of U.S. sales by 2030 is a clear indication that the U.S. is making strides in decarbonizing its transportation systems… [+8883 chars]
1,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Rebecca Bellan,"Hyundai Motor Group unveils its hydrogen strategy, plans to offer fuel cell versions of commercial cars by 2028","Hyundai Motor Group is backing hydrogen as a top energy solution for sustainability. With its new fuel cell system that it plans to launch in the next few years, the South Korean automaker said it will provide hydrogen fuel cell versions for all its commercia…",http://techcrunch.com/2021/09/07/hyundai-motor-group-unveils-its-hydrogen-strategy-plans-to-offer-fuel-cell-versions-of-commercial-cars-by-2028/,https://techcrunch.com/wp-content/uploads/2021/09/Screen-Shot-2021-09-07-at-6.13.04-pm.png?w=706,2021-09-07T07:03:22Z,"Hyundai Motor Group is backing hydrogen as a top energy solution for sustainability. With its new fuel cell system that it plans to launch in the next few years, the South Korean automaker said it wi… [+4247 chars]"
2,"{'id': None, 'name': 'Wiley.com'}",,Electric Vehicles produce substantial toxicity to Humans and Freshwater,Electric vehicles (EVs) coupled with low-carbon electricity sources offer the potential for reducing greenhouse gas emissions and exposure to tailpipe emissions from personal transportation. In consi...,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1530-9290.2012.00532.x,https://onlinelibrary.wiley.com/cms/asset/c6dc7a5d-fc21-4e71-919b-541127bf3efb/jiec.v25.4.cover.jpg,2021-09-08T16:07:02Z,"Introduction
Our global society is dependent on road transport, and development trends project substantial growth in road transport over the coming decades. According to a study commissioned by the … [+45710 chars]"
3,"{'id': 'reuters', 'name': 'Reuters'}",Reuters,Zurich Insurance sets climate steps to curb C02 emissions - Reuters,"Zurich Insurance Group <a href=""https://www.reuters.com/companies/ZURN.S"" target=""_blank"">(ZURN.S)</a> unveiled new climate measures that the Swiss insurer said would cut carbon dioxide (CO2) emissions by a fifth -- or more than 40,000 tonnes per year -- by 2…",https://www.reuters.com/business/sustainable-business/zurich-insurance-sets-climate-steps-curb-c02-emissions-2021-09-07/,https://www.reuters.com/resizer/Wr51vgMBJwat3SHVX7XUe3WNKCk=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/M5L7O6WGDJJXHEWZ7SPZS7K72M.jpg,2021-09-07T06:04:00Z,"CEO Mario Greco of Swiss Zurich Insurance addresses a news conference in Zurich, Switzerland February 9, 2017. REUTERS/Arnd Wiegmann/File PhotoZURICH, Sept 7 (Reuters) - Zurich Insurance Group (ZURN.… [+1472 chars]"
4,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,UPDATE 1-Zurich Insurance sets climate steps to curb C02 emissions - Reuters,"Zurich Insurance Group unveiled new climate measures that the Swiss insurer said would cut carbon dioxide (CO2) emissions by a fifth -- or more than 40,000 tonnes per year -- by 2025.",https://www.reuters.com/article/us-zurich-ins-group-environment-idUSKBN2G30BT,https://static.reuters.com/resources/r/?m=02&d=20210907&t=2&i=1574046631&r=LYNXMPEH86051&w=800,2021-09-07T05:49:00Z,"By Reuters Staff
FILE PHOTO: CEO Mario Greco of Swiss Zurich Insurance addresses a news conference in Zurich, Switzerland February 9, 2017. REUTERS/Arnd Wiegmann/File Photo
ZURICH (Reuters) - Zuric… [+1363 chars]"
5,"{'id': 'reuters', 'name': 'Reuters'}",Reuters Staff,UPDATE 1-Zurich Insurance sets climate steps to curb C02 emissions - Reuters,"Zurich Insurance Group unveiled new climate measures that the Swiss insurer said would cut carbon dioxide (CO2) emissions by a fifth -- or more than 40,000 tonnes per year -- by 2025.",https://www.reuters.com/article/zurich-ins-group-environment-idUSL8N2Q90LM,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-09-07T05:49:00Z,"By Reuters Staff
(Adds details and background)
ZURICH, Sept 7 (Reuters) - Zurich Insurance Group unveiled new climate measures that the Swiss insurer said would cut carbon dioxide (CO2) emissions b… [+1305 chars]"
6,"{'id': 'reuters', 'name': 'Reuters'}",Tina Bellon,Biden infrastructure plan takes on EV charging's inequality problem - Reuters,"The Biden administration has an ambitious $7.5 billion plan to expand electric vehicle charging to underserved areas, but it must first overcome a host of obstacles that have discouraged private investment in more equitable charging networks.",https://www.reuters.com/world/us/biden-infrastructure-plan-takes-ev-chargings-inequality-problem-2021-09-01/,https://www.reuters.com/resizer/yUu5Mp4n_3c3eJH-Bj7YFPeFqkw=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/KFFTQHJGQZKZDF6V4KMBVP3XJ4.jpg,2021-09-01T11:12:00Z,"Sept 1 (Reuters) - The Biden administration has an ambitious $7.5 billion plan to expand electric vehicle charging to underserved areas, but it must first overcome a host of obstacles that have disco… [+5996 chars]"
7,"{'id': 'reuters', 'name': 'Reuters'}",Tina Bellon,Biden infrastructure plan takes on EV charging’s inequality problem - Reuters,"The Biden administration has an ambitious $7.5 billion plan to expand electric vehicle charging to underserved areas, but it must first overcome a host of obstacles that have discouraged private investment in more equitable charging networks.",https://www.reuters.com/article/us-usa-infrastructure-ev-charging-focus-idUSKBN2FX36V,https://static.reuters.com/resources/r/?m=02&d=20210901&t=2&i=1573552647&r=LYNXMPEH801PI&w=800,2021-09-01T11:09:00Z,"(Reuters) - The Biden administration has an ambitious $7.5 billion plan to expand electric vehicle charging to underserved areas, but it must first overcome a host of obstacles that have discouraged … [+5932 chars]"
8,"{'id': 'reuters', 'name': 'Reuters'}",Reuters,BMW to reduce carbon emissions in car life cycle 40% by 2030 - Reuters,"BMW <a href=""https://www.reuters.com/companies/BMWG.DE"" target=""_blank"">(BMWG.DE)</a> plans to reduce carbon emissions across the life cycle of its vehicles - including the production process - at least 40% from 2019 levels by 2030, the carmaker said on Thurs…",https://www.reuters.com/business/sustainable-business/bmw-reduce-carbon-emissions-car-life-cycle-40-by-2030-2021-09-02/,https://www.reuters.com/resizer/5wCXqdPWqkrXKBxOJiG4fbC_UA8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ZTLNZFMUW5JL3BYYG7GAO7RHDI.jpg,2021-09-02T08:20:00Z,"A logo of German luxury carmaker BMW, is seen ahead of the company's annual news conference in Munich, Germany, March 20, 2019. REUTERS/Michael Dalder/File PhotoBERLIN, Sept 2 (Reuters) - BMW (BMWG.D… [+1480 chars]"
9,"{'id': 'reuters', 'name': 'Reuters'}",,Analysis: China's green car credit system to be replaced as country pursues carbon neutrality - Reuters,"China may replace its green car credit system with a new policy focusing more broadly on reducing carbon emissions, industry executives say.",https://www.reuters.com/business/autos-transportation/chinas-green-car-credit-system-be-replaced-country-pursues-carbon-neutrality-2021-09-27/,https://www.reuters.com/resizer/e2dDP4alhuCeIS0ugB2Ror4IExM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/RB2NJ7YVBVLPZKKOQDBDPTFWEA.jpg,2021-09-27T04:08:00Z,"Cars are seen in a traffic jam during evening rush hour in Beijing, as the country is hit by an outbreak of the novel coronavirus disease (COVID-19), China April 8, 2020. REUTERS/Tingshu Wang/File Ph… [+3179 chars]"
